Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-01-11 18:45:40,false,"Copenhagen - Main run 2023","5.61","460","00:30:19","159","172","3.6","172","178","5:24","4:42","5","7","1.20","6.6","8.2","277","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:02.26","9","0.0","00:30:15","00:30:21","--","11"
Running,2023-01-09 18:00:21,false,"Copenhagen - Main run 2023","5.49","467","00:31:28","156","169","3.5","170","179","5:44","4:25","25","27","1.16","6.8","8.1","283","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.62","9","0.0","00:31:24","00:31:28","--","11"
Running,2023-01-05 19:46:44,false,"Copenhagen - Main run 2023","6.17","455","00:30:25","162","174","3.5","177","185","4:56","4:15","9","11","1.10","6.7","7.6","271","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.25","10","0.0","00:30:24","00:30:25","--","10"
Running,2023-01-02 17:13:32,false,"Copenhagen - Main run 2023","5.89","464","00:30:26","161","171","3.6","173","180","5:10","4:24","12","80","1.16","7.0","8.3","271","49.9% L / 50.1% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.95","9","0.0","00:30:11","00:30:26","--","71"
Running,2022-12-07 18:10:11,false,"Copenhagen Running","7.25","593","00:38:34","159","169","3.9","171","178","5:19","4:40","34","34","1.23","6.6","8.3","272","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:42.71","8","0.0","00:38:29","00:38:34","--","14"
Running,2022-12-02 18:43:42,false,"Copenhagen Running","7.82","577","00:38:20","158","171","3.9","174","182","4:54","4:13","36","24","1.18","6.6","8.0","268","49.0% L / 51.0% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:35.97","8","0.0","00:37:59","00:39:25","--","17"
Running,2022-11-30 17:54:57,false,"Copenhagen Running","7.84","564","00:37:01","156","170","3.8","178","188","4:43","3:53","28","30","1.17","6.7","8.1","263","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:07.46","8","0.0","00:36:55","00:37:13","--","12"
Running,2022-11-23 19:21:39,false,"Copenhagen - Threshold","7.91","609","00:42:03","159","175","4.0","168","185","5:19","4:06","6","5","1.15","6.8","8.0","272","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.13","10","0.0","00:40:45","00:44:01","--","9"
Running,2022-11-21 18:00:28,false,"Copenhagen Running","6.40","506","00:37:26","146","157","3.2","169","176","5:51","5:09","31","33","1.16","6.9","8.2","283","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:24.62","7","0.0","00:37:21","00:38:41","--","14"
Running,2022-11-16 19:44:24,false,"Copenhagen Running","6.45","529","00:38:57","148","162","3.3","168","175","6:02","5:12","36","38","1.14","6.9","8.1","288","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:35.92","7","0.0","00:38:47","00:41:00","--","15"
